ID	allele_type
YERS_1455	core
YERS_1456	core
YERS_1457	core
YERS_1458	core
YERS_1459	core
YERS_1460	core
YERS_1461	core
YERS_1462	core
YERS_1463	core
YERS_1464	core
YERS_1465	core
YERS_1466	core
YERS_1467	core
YERS_1468	core
YERS_1469	core
YERS_1470	core
YERS_1471	core
YERS_1472	core
YERS_1473	core
YERS_1474	core
YERS_1475	core
YERS_1476	core
YERS_1477	core
YERS_1478	core
YERS_1479	core
YERS_1480	core
YERS_1481	core
YERS_1482	core
YERS_1483	core
YERS_1484	core
YERS_1485	core
YERS_1486	core
YERS_1487	core
YERS_1488	core
YERS_1489	core
YERS_1490	core
YERS_1491	core
YERS_1492	core
YERS_1493	core
YERS_1494	core
YERS_1495	core
YERS_1496	core
YERS_1497	core
YERS_1498	core
YERS_1499	core
YERS_1500	core
YERS_1501	core
YERS_1502	core
YERS_1503	core
YERS_1504	core
YERS_1505	core
YERS_1506	core
YERS_1507	core
YERS_1508	core
YERS_1509	core
YERS_1510	core
YERS_1511	core
YERS_1512	core
YERS_1513	core
YERS_1514	core
YERS_1515	core
YERS_1516	core
YERS_1517	core
YERS_1518	core
YERS_1519	core
YERS_1520	core
YERS_1521	core
YERS_1522	core
YERS_1523	core
YERS_1524	core
YERS_1525	core
YERS_1526	core
YERS_1527	core
YERS_1528	core
YERS_1529	core
YERS_1530	core
YERS_1531	core
YERS_1532	core
YERS_1533	core
YERS_1534	core
YERS_1535	core
YERS_1536	core
YERS_1537	core
YERS_1538	core
YERS_1539	core
YERS_1540	core
YERS_1541	core
YERS_1542	core
YERS_1543	core
YERS_1544	core
YERS_1545	core
YERS_1546	core
YERS_1547	core
YERS_1548	core
YERS_1549	core
YERS_1550	core
YERS_1551	core
YERS_1552	core
YERS_1553	core
YERS_1554	core
YERS_1555	core
YERS_1556	core
YERS_1557	core
YERS_1558	core
YERS_1559	core
YERS_1560	core
YERS_1561	core
YERS_1562	core
YERS_1563	core
YERS_1564	core
YERS_1565	core
YERS_1566	core
YERS_1567	core
YERS_1568	core
YERS_1569	core
YERS_1570	core
YERS_1571	core
YERS_1572	core
YERS_1573	core
YERS_1574	core
YERS_1575	core
YERS_1576	core
YERS_1577	core
YERS_1578	core
YERS_1579	core
YERS_1580	core
YERS_1581	core
YERS_1582	core
YERS_1583	core
YERS_1584	core
YERS_1585	core
YERS_1586	core
YERS_1587	core
YERS_1588	core
YERS_1589	core
YERS_1590	core
YERS_1591	core
YERS_1592	core
YERS_1593	core
YERS_1594	core
YERS_1595	core
YERS_1596	core
YERS_1597	core
YERS_1598	core
YERS_1599	core
YERS_1600	core
YERS_1601	core
YERS_1602	core
YERS_1603	core
YERS_1604	core
YERS_1605	core
YERS_1606	core
YERS_1607	core
YERS_1608	core
YERS_1609	core
YERS_1610	core
YERS_1611	core
YERS_1612	core
YERS_1613	core
YERS_1614	core
YERS_1615	core
YERS_1616	core
YERS_1617	core
YERS_1618	core
YERS_1619	core
YERS_1620	core
YERS_1621	core
YERS_1622	core
YERS_1623	core
YERS_1624	core
YERS_1625	core
YERS_1626	core
YERS_1627	core
YERS_1628	core
YERS_1629	core
YERS_1630	core
YERS_1631	core
YERS_1632	core
YERS_1633	core
YERS_1634	core
YERS_1635	core
YERS_1636	core
YERS_1637	core
YERS_1638	core
YERS_1639	core
YERS_1640	core
YERS_1641	core
YERS_1642	core
YERS_1643	core
YERS_1644	core
YERS_1645	core
YERS_1646	core
YERS_1647	core
YERS_1648	core
YERS_1649	core
YERS_1650	core
YERS_1651	core
YERS_1652	core
YERS_1653	core
YERS_1654	core
YERS_1655	core
YERS_1656	core
YERS_1657	core
YERS_1658	core
YERS_1659	core
YERS_1660	core
YERS_1661	core
